Wavelength,GDD,Wavelength2,R
1045.54,1.256973,,
1045.71,1.314227,,
1045.88,1.371243,,
1046.05,1.428017,,
1046.22,1.48455,,
1046.39,1.540837,,
1046.56,1.596878,,
1046.73,1.652671,,
1046.9,1.708213,,
1047.07,1.763502,,
1047.24,1.818538,,
1047.41,1.873316,,
1047.58,1.927837,,
1047.75,1.982097,,
1047.92,2.036095,,
1048.09,2.089828,,
1048.26,2.143296,,
1048.43,2.196496,,
1048.6,2.249426,,
1048.77,2.302084,,
1048.94,2.354468,,
1049.11,2.406577,,
1049.28,2.458407,,
1049.45,2.509959,,
1049.62,2.561229,,
1049.79,2.612217,,
1049.96,2.662919,,
1050.13,2.713334,,
1050.3,2.76346,,
1050.47,2.813296,,
1050.64,2.862839,,
1050.81,2.912088,,
1050.98,2.961041,,
1051.15,3.009696,,
1051.32,3.058051,,
1051.49,3.106104,,
1051.66,3.153855,,
1051.83,3.201299,,
1052,3.248437,,
1052.17,3.295266,,
1052.34,3.341784,,
1052.51,3.38799,,
1052.68,3.433882,,
1052.85,3.479458,,
1053.02,3.524716,,
1053.19,3.569655,,
1053.36,3.614273,,
1053.53,3.658567,,
1053.7,3.702537,,
1053.87,3.746181,,
1054.04,3.789496,,
1054.21,3.832482,,
1054.38,3.875136,,
1054.55,3.917457,,
1054.72,3.959443,,
1054.89,4.001092,,
1055.06,4.042404,,
1055.23,4.083375,,
1055.4,4.124004,,
1055.57,4.16429,,
1055.74,4.204231,,
1055.91,4.243825,,
1056.08,4.283072,,
1056.25,4.321968,,
1056.42,4.360513,,
1056.59,4.398705,,
1056.76,4.436541,,
1056.93,4.474022,,
1057.1,4.511144,,
1057.27,4.547907,,
1057.44,4.584309,,
1057.61,4.620348,,
1057.78,4.656022,,
1057.95,4.691331,,
1058.12,4.726272,,
1058.29,4.760844,,
1058.46,4.795045,,
1058.63,4.828874,,
1058.8,4.86233,,
1058.97,4.89541,,
1059.14,4.928113,,
1059.31,4.960438,,
1059.48,4.992384,,
1059.65,5.023948,,
1059.82,5.055129,,
1059.99,5.085926,,
1060.16,5.116336,,
1060.33,5.14636,,
1060.5,5.175995,,
1060.67,5.205239,,
1060.84,5.234092,,
1061.01,5.262551,,
1061.18,5.290616,,
1061.35,5.318284,,
1061.52,5.345556,,
1061.69,5.372427,,
1061.86,5.398899,,
1062.03,5.424968,,
