Wavelength,GDD,Wavelength2,R
986.9800169,99.90548204,1070,0.992
987.0363073,99.52741021,,
987.0925978,98.96030246,,
987.1488883,98.77126654,,
987.2051787,98.48771267,,
987.2614692,98.20415879,,
987.3177596,97.63705104,,
987.3740501,97.06994329,,
987.4303406,96.5973535,,
987.486631,96.21928166,,
987.5429215,96.03024575,,
987.5992119,95.74669187,,
987.6555024,95.55765595,,
987.7117929,95.36862004,,
987.7680833,95.08506616,,
987.8243738,94.61247637,,
987.8806642,93.95085066,,
987.9369547,93.66729679,,
987.9932451,93.47826087,,
988.0495356,93.19470699,,
988.1058261,92.91115312,,
988.1621165,92.34404537,,
988.218407,91.96597354,,
988.2746974,91.77693762,,
988.3309879,91.5879017,,
988.3872784,91.39886578,,
988.4435688,91.20982987,,
988.4998593,91.02079395,,
988.5561497,90.54820416,,
988.6124402,90.07561437,,
988.6687307,89.79206049,,
988.7250211,89.41398866,,
988.7813116,89.03591682,,
988.837602,88.84688091,,
988.8938925,88.37429112,,
988.9501829,87.71266541,,
989.0064734,87.52362949,,
989.0627639,87.24007561,,
989.1190543,86.67296786,,
989.1753448,86.48393195,,
989.2316352,86.20037807,,
989.2879257,86.01134216,,
989.3442162,85.82230624,,
989.4005066,85.63327032,,
989.4567971,85.16068053,,
989.5130875,84.68809074,,
989.569378,84.59357278,,
989.6256684,84.3100189,,
989.6819589,83.74291115,,
989.7382494,83.55387524,,
989.7945398,83.27032136,,
989.8508303,82.98676749,,
989.9071207,82.70321361,,
989.9634112,82.41965974,,
990.0197017,82.13610586,,
990.0759921,81.75803403,,
990.1322826,81.47448015,,
990.188573,81.09640832,,
990.2448635,80.81285444,,
990.301154,80.62381853,,
990.3574444,80.34026465,,
990.4137349,80.05671078,,
990.4700253,79.7731569,,
990.5263158,79.58412098,,
990.5826062,79.30056711,,
990.6388967,79.11153119,,
990.6951872,78.82797732,,
990.7514776,78.6389414,,
990.8077681,78.26086957,,
990.8640585,78.07183365,,
990.920349,77.78827977,,
990.9766395,77.59924386,,
991.0329299,77.12665406,,
991.0892204,76.93761815,,
991.1455108,76.74858223,,
991.2018013,76.46502836,,
991.2580918,76.27599244,,
991.3143822,75.70888469,,
991.3706727,75.51984877,,
991.4269631,75.33081285,,
991.4832536,74.95274102,,
991.539544,74.7637051,,
991.5958345,74.48015123,,
991.652125,74.29111531,,
991.7084154,74.1020794,,
991.7647059,73.91304348,,
991.8209963,73.53497164,,
991.8772868,73.25141777,,
991.9335773,73.06238185,,
991.9898677,72.77882798,,
992.0461582,72.4952741,,
992.1024486,72.02268431,,
992.1587391,71.83364839,,
992.27132,71.64461248,,
992.3276105,71.45557656,,
992.3839009,71.26654064,,
992.4401914,71.07750473,,
992.4964818,70.88846881,,
992.5527723,70.69943289,,
992.6090628,70.51039698,,
992.6653532,70.03780718,,
992.7216437,69.84877127,,
992.7779341,69.56521739,,
992.8342246,69.37618147,,
992.8905151,69.18714556,,
992.9468055,68.90359168,,
993.003096,68.71455577,,
993.0593864,68.52551985,,
993.1156769,68.33648393,,
993.1719674,68.14744802,,
993.2282578,68.05293006,,
993.2845483,67.67485822,,
993.3408387,67.48582231,,
993.3971292,67.29678639,,
993.4534196,67.10775047,,
993.5097101,66.91871456,,
993.5660006,66.54064272,,
993.622291,66.35160681,,
993.6785815,66.16257089,,
993.7348719,65.97353497,,
993.7911624,65.78449905,,
993.8474529,65.59546314,,
993.9037433,65.40642722,,
993.9600338,65.2173913,,
994.0163242,64.93383743,,
994.1289052,64.74480151,,
994.1851956,64.46124764,,
994.2414861,64.27221172,,
994.354067,63.98865785,,
994.4103574,63.70510397,,
994.4666479,63.42155009,,
994.5792288,63.13799622,,
994.6355193,62.85444234,,
994.6918097,62.57088847,,
994.8043907,62.38185255,,
994.8606811,62.09829868,,
994.973262,61.8147448,,
995.0295525,61.62570888,,
995.1421334,61.34215501,,
