Wavelength,GDD,Wavelength2,R
1040.46,11.641891,,
1040.6,11.579987,,
1040.74,11.518263,,
1040.88,11.456719,,
1041.02,11.395353,,
1041.16,11.334164,,
1041.3,11.273151,,
1041.44,11.212312,,
1041.58,11.151645,,
1041.72,11.09115,,
1041.86,11.030826,,
1042,10.970671,,
1042.14,10.910683,,
1042.28,10.850862,,
1042.42,10.791206,,
1042.56,10.731715,,
1042.7,10.672386,,
1042.84,10.613219,,
1042.98,10.554212,,
1043.12,10.495364,,
1043.26,10.436674,,
1043.4,10.378141,,
1043.54,10.319763,,
1043.68,10.26154,,
1043.82,10.20347,,
1043.96,10.145552,,
1044.1,10.087785,,
1044.24,10.030168,,
1044.38,9.972699,,
1044.52,9.915377,,
1044.66,9.858202,,
1044.8,9.801172,,
1044.94,9.744285,,
1045.08,9.687542,,
1045.22,9.630941,,
1045.36,9.57448,,
1045.5,9.518159,,
1045.64,9.461976,,
1045.78,9.405931,,
1045.92,9.350022,,
1046.06,9.294248,,
1046.2,9.238609,,
1046.34,9.183102,,
1046.48,9.127728,,
1046.62,9.072485,,
1046.76,9.017371,,
1046.9,8.962387,,
1047.04,8.90753,,
1047.18,8.852801,,
1047.32,8.798197,,
1047.46,8.743718,,
1047.6,8.689364,,
1047.74,8.635132,,
1047.88,8.581021,,
1048.02,8.527032,,
1048.16,8.473163,,
1048.3,8.419412,,
1048.44,8.36578,,
1048.58,8.312264,,
1048.72,8.258865,,
1048.86,8.20558,,
1049,8.15241,,
1049.14,8.099353,,
1049.28,8.046408,,
1049.42,7.993574,,
1049.56,7.940851,,
1049.7,7.888237,,
1049.84,7.835732,,
1049.98,7.783334,,
1050.12,7.731043,,
1050.26,7.678858,,
1050.4,7.626777,,
1050.54,7.574801,,
1050.68,7.522928,,
1050.82,7.471157,,
1050.96,7.419487,,
1051.1,7.367918,,
1051.24,7.316448,,
1051.38,7.265077,,
1051.52,7.213804,,
1051.66,7.162628,,
1051.8,7.111548,,
1051.94,7.060564,,
1052.08,7.009674,,
1052.22,6.958877,,
1052.36,6.908174,,
1052.5,6.857562,,
1052.64,6.807041,,
1052.78,6.756611,,
1052.92,6.706271,,
1053.06,6.656019,,
1053.2,6.605855,,
1053.34,6.555778,,
1053.48,6.505787,,
1053.62,6.455882,,
1053.76,6.406062,,
1053.9,6.356325,,
1054.04,6.306672,,
1054.18,6.257101,,
1054.32,6.207612,,
1054.46,6.158203,,
1054.6,6.108874,,
1054.74,6.059625,,
1054.88,6.010455,,
1055.02,5.961362,,
1055.16,5.912346,,
1055.3,5.863407,,
1055.44,5.814543,,
1055.58,5.765754,,
1055.72,5.717039,,
1055.86,5.668398,,
1056,5.619829,,
1056.14,5.571332,,
1056.28,5.522906,,
1056.42,5.474551,,
1056.56,5.426266,,
1056.7,5.378049,,
1056.84,5.329901,,
1056.98,5.281821,,
1057.12,5.233808,,
1057.26,5.185861,,
1057.4,5.137979,,
1057.54,5.090163,,
1057.68,5.042411,,
1057.82,4.994722,,
1057.96,4.947097,,
1058.1,4.899533,,
1058.24,4.852031,,
1058.38,4.80459,,
1058.52,4.75721,,
1058.66,4.709888,,
1058.8,4.662626,,
1058.94,4.615422,,
1059.08,4.568276,,
1059.22,4.521186,,
1059.36,4.474154,,
1059.5,4.427176,,
1059.64,4.380254,,
1059.78,4.333387,,
1059.92,4.286573,,
1060.06,4.239812,,
1060.2,4.193104,,
1060.34,4.146448,,
1060.48,4.099844,,
1060.62,4.05329,,
1060.76,4.006786,,
1060.9,3.960332,,
1061.04,3.913927,,
1061.18,3.86757,,
1061.32,3.821261,,
1061.46,3.774999,,
1061.6,3.728784,,
1061.74,3.682614,,
1061.88,3.63649,,
1062.02,3.590411,,
1062.16,3.544377,,
1062.3,3.498385,,
1062.44,3.452437,,
1062.58,3.406532,,
1062.72,3.360669,,
1062.86,3.314847,,
1063,3.269065,,
1063.14,3.223325,,
1063.28,3.177623,,
1063.42,3.131962,,
1063.56,3.086338,,
1063.7,3.040753,,
1063.84,2.995206,,
1063.98,2.949695,,
1064.12,2.904221,,
1064.26,2.858783,,
1064.4,2.813381,,
1064.54,2.768013,,
1064.68,2.72268,,
1064.82,2.67738,,
1064.96,2.632114,,
1065.1,2.586881,,
1065.24,2.54168,,
1065.38,2.496511,,
1065.52,2.451373,,
1065.66,2.406266,,
1065.8,2.361189,,
1065.94,2.316141,,
1066.08,2.271124,,
1066.22,2.226134,,
1066.36,2.181173,,
1066.5,2.13624,,
1066.64,2.091335,,
1066.78,2.046455,,
1066.92,2.001603,,
1067.06,1.956776,,
1067.2,1.911974,,
1067.34,1.867197,,
1067.48,1.822445,,
1067.62,1.777716,,
1067.76,1.733011,,
1067.9,1.688329,,
1068.04,1.643669,,
1068.18,1.599031,,
1068.32,1.554415,,
1068.46,1.50982,,
1068.6,1.465246,,
1068.74,1.420692,,
1068.88,1.376157,,
1069.02,1.331642,,
1069.16,1.287145,,
1069.3,1.242667,,
1069.44,1.198206,,
1069.58,1.153763,,
1069.72,1.109338,,
1069.86,1.064928,,
1070,1.020535,,
1070.14,0.976157,,
1070.28,0.931795,,
1070.42,0.887447,,
1070.56,0.843114,,
1070.7,0.798795,,
1070.84,0.754489,,
1070.98,0.710197,,
1071.12,0.665916,,
1071.26,0.621648,,
1071.4,0.577393,,
1071.54,0.533148,,
1071.68,0.488914,,
